source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
aeon                               Deep         1         0         0         0         0         0         0         0         0         0         0         0         0         0
african_arguments                  Flow       240        12        12         0         0        12        12         0         0         0         0         0         0         0
american_enterprise_institute      Flow         2         0         0         0         0         0         0         0         0         0         0         0         0         0
apricitas_economics                Flow        81        10        10         0        10         0         0         0         0         0         0         0         0         0
brookings_institution              Deep       103         7         7         0         7         0         0         0         0         0         0         0         0         0
bruegel                            Flow         2         0         0         0         0         0         0         0         0         0         0         0         0         0
center_for_american_progress       Flow       238        56        56         0         0        56        56         0         0         0         0         0         0         0
east_asia_forum                    Flow       256        26        26         0         2        24        24         0         0         0         0         0         0         0
hudson_institute                   Deep       107        14        14         0        14         0         0         0         0         0         0         0         0         0
iea_commentaries                   Flow         2         0         0         0         0         0         0         0         0         0         0         0         0         0
long_now_foundation                Deep       131        21        21         0        21         0         0         0         0         0         0         0         0         0
macropolo_paulson_institute        Flow        65        10        10         0         5         5         5         0         0         0         0         0         0         0
oecd_insights                      Flow      2396        66        59         0         0        59        59         0         0         0         0         0         0         0
the_new_atlantis                   Deep       162        34        34         0        34         0         0         0         0         0         0         0         0         0
cato_institute                     Flow       121         3         3         0         2         1         0         0         0         1         0         1         0         1
german_marshall_fund               Deep        68         4         4         0         2         2         1         0         0         1         0         1         0         1
merics                             Flow       185        18        18         0        16         2         0         1         0         1         0         1         0         1
palladium_magazine                 Deep       105        18        18         0        17         1         0         0         0         1         0         1         0         1
resolution_foundation              Flow       103         2         2         0         1         1         0         0         0         1         0         1         0         1
the_point_magazine                 Deep       127        17        17         0        15         2         1         0         0         1         0         1         0         1
carnegie_endowment                 Deep        86        26        26         0        19         7         5         0         0         2         0         2         0         2
european_council_on_foreign_r      Flow       218        37        37         0        33         4         1         0         0         3         0         3         0         3
santa_fe_institute                 Deep       141        22        22         0        19         3         0         0         0         3         0         3         0         3
works_in_progress                  Deep       790       154        56         0        53         3         0         0         0         3         0         3         0         3
noahpinion_noah_smith              Flow        54         8         8         0         4         4         0         0         0         4         0         4         0         4
noema_magazine                     Deep       610        57        56         0        51         5         1         0         0         4         0         4         0         4
rand_corporation                   Deep        87         9         9         0         5         4         0         0         0         4         0         4         0         4
hedgehog_review                    Deep        75        10        10         0         4         6         0         0         0         6         0         6         1         5
iiss                               Deep        88        16        16         0         6        10         0         4         0         6         0         6         1         5
n_1_magazine                       Deep       130        14        14         0         9         5         0         0         0         5         0         5         0         5
the_wire_china                     Flow       196        21        21         0        16         5         0         0         0         5         0         5         0         5
americas_quarterly                 Flow       316        49        49         0        43         6         0         0         0         6         0         6         0         6
asia_society_policy_institute      Flow       259        30        30         0        22         8         2         0         0         6         0         6         0         6
project_syndicate                  Flow       288        62        19         0        10         9         3         0         0         6         0         6         0         6
slow_boring_matt_yglesias          Flow        73        16        16         0         6        10         4         0         0         6         0         6         0         6
cnas                               Flow       357        68        55         0        44        11         4         0         0         7         0         7         0         7
council_on_foreign_relations       Deep        99        52        52         0         1        51        44         0         0         7         0         7         0         7
marginal_revolution_tyler_cow      Flow       232        19        19         0         3        16         8         0         0         8         0         8         0         8
world_bank_blogs                   Flow       135        19        19         0        11         8         0         0         0         8         0         8         0         8
engelsberg_ideas                   Deep        63        13        13         0         3        10         1         0         0         9         0         9         0         9
atlantic_council                   Deep       293        25        25         0        14        11         0         0         0        11         0        11         0        11
institute_for_family_studies       Deep       267        32        32         0        21        11         0         0         0        11         0        11         0        11
war_on_the_rocks                   Flow        81        24        24         0        11        13         1         0         0        12         0        12         0        12
lawfare_blog                       Flow       229        54        35         0         5        30         0         0         0        30         5        25        12        13
al_monitor                         Flow       271        58        58         0        33        25        11         0         0        14         0        14         0        14
csis                               Deep      1167        40        40         0         0        40         6        18         0        16         0        16         0        16
lowy_institute_the_interprete      Flow       206        44        44         0        25        19         2         1         0        16         0        16         0        16
prospect_magazine                  Deep       208        64        41         0        10        31         1         0         0        30         0        30        13        17
foreign_affairs                    Flow       348        44        44         0        25        19         0         0         0        19         0        19         0        19
foreign_policy                     Flow       514       118        41         0        21        20         1         0         0        19         0        19         0        19
the_diplomat                       Flow       244        72        57         0         9        48        19         0         0        29         4        25         0        25
nautilus                           Deep       217        39        39         0        13        26         0         0         0        26         0        26         0        26
