source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
apricitas_economics                Flow        81         9         9         0         9         0         0         0         0         0         0         0         0         0         0
brookings_institution              Deep       103         7         7         0         7         0         0         0         0         0         0         0         0         0         0
center_for_american_progress       Flow       233        57        56         0         1        55        55         0         0         0         0         0         0         0         0
east_asia_forum                    Flow       342        26        26         0         3        23        23         0         0         0         0         0         0         0         0
hudson_institute                   Deep       109        12        12         0        12         0         0         0         0         0         0         0         0         0         0
macropolo_paulson_institute        Flow        65        10        10         0         5         5         5         0         0         0         0         0         0         0         0
oecd_insights                      Flow      2396        66        59         0         0        59        59         0         0         0         0         0         0         0         0
palladium_magazine                 Deep       103        18        18         0        18         0         0         0         0         0         0         0         0         0         0
the_new_atlantis                   Deep       161        32        32         0        32         0         0         0         0         0         0         0         0         0         0
the_point_magazine                 Deep       132        14        14         0        13         1         1         0         0         0         0         0         0         0         0
cato_institute                     Flow       121         3         3         0         1         2         0         1         0         1         0         1         0         1         0
german_marshall_fund               Deep        71         4         4         0         2         2         1         0         0         1         0         1         0         1         0
iiss                               Deep        89        15        15         0        10         5         0         4         0         1         0         1         0         1         0
long_now_foundation                Deep       131        20        20         0        19         1         0         0         0         1         0         1         0         1         0
merics                             Flow       182        16        16         0        14         2         0         1         0         1         0         1         0         1         0
santa_fe_institute                 Deep       132        21        21         0        20         1         0         0         0         1         0         1         0         1         0
atlantic_council                   Deep       293        26        26         0        24         2         0         0         0         2         0         2         0         2         0
noema_magazine                     Deep       625        59        56         0        54         2         0         0         0         2         0         2         0         2         0
resolution_foundation              Flow       103         6         6         0         3         3         0         1         0         2         0         2         0         2         0
works_in_progress                  Deep      1045       165        58         0        56         2         0         0         0         2         0         2         0         2         0
carnegie_endowment                 Deep        84        26        26         0        21         5         2         0         0         3         0         3         0         3         0
noahpinion_noah_smith              Flow        53         8         8         0         4         4         0         0         0         4         0         4         0         4         0
slow_boring_matt_yglesias          Flow        73        16        16         0         6        10         5         0         0         5         0         5         0         5         0
americas_quarterly                 Flow       319        49        49         0        43         6         0         0         0         6         0         6         0         6         0
asia_society_policy_institute      Flow       267        33        33         0        22        11         2         3         0         6         0         6         0         6         0
cnas                               Flow       356        62        54         0        40        14         8         0         0         6         0         6         0         6         0
hedgehog_review                    Deep        75         9         9         0         2         7         0         0         0         7         0         7         1         6         0
rand_corporation                   Deep        87        11        11         0         5         6         0         0         0         6         0         6         0         6         0
the_wire_china                     Flow       195        21        21         0        15         6         0         0         0         6         0         6         0         6         0
council_on_foreign_relations       Deep       108        53        53         0         7        46        39         0         0         7         0         7         0         7         0
european_council_on_foreign_r      Flow       223        38        38         0        30         8         1         0         0         7         0         7         0         7         0
foreign_affairs                    Flow       344        38        38         0        31         7         0         0         0         7         0         7         0         7         0
n_1_magazine                       Deep       130        13        13         0         6         7         0         0         0         7         0         7         0         7         0
project_syndicate                  Flow       286        58        19         0         8        11         3         0         0         8         0         8         0         8         0
world_bank_blogs                   Flow       129        22        22         0        14         8         0         0         0         8         0         8         0         8         0
engelsberg_ideas                   Deep        91        14        14         0         4        10         1         0         0         9         0         9         0         9         0
al_monitor                         Flow       272        57        56         0        35        21        11         0         0        10         0        10         0        10         0
institute_for_family_studies       Deep       111        11        11         0         1        10         0         0         0        10         0        10         0        10         0
lawfare_blog                       Flow       231        56        32         0         2        30         0         0         0        30         5        25        15        10         0
marginal_revolution_tyler_cow      Flow       230        18        18         0         2        16         6         0         0        10         0        10         0        10         0
war_on_the_rocks                   Flow        87        25        25         0        12        13         2         0         0        11         0        11         0        11         0
csis                               Deep      1186        40        40         0         0        40         5        21         0        14         0        14         0        14         0
lowy_institute_the_interprete      Flow       231        47        47         0        28        19         2         1         0        16         0        16         0        16         0
prospect_magazine                  Deep       216        69        34         0         3        31         1         0         0        30         0        30        11        19         0
foreign_policy                     Flow       484       109        51         0        18        33         1         3         0        29         4        25         0        25         0
the_diplomat                       Flow       244        70        54         0         6        48        18         0         0        30         5        25         0        25         0
nautilus                           Deep       219        40        40         0        12        28         2         0         0        26         0        26         0        26         0
