source                             tier   anchors     cands   fetched   nav_err       old   recency     short      junk   wl_drop   wl_pass  cap_drop    capped   undated  worklist  degraded
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anyscale_ray_blog                  Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
apple_ml_research                  Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
benchmark_minerals                 Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
bloombergnef_free_content          Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
carbon_brief                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
cohere_blog                        Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
fabricated_knowledge               Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
google_ai_blog                     Deep       159        12        12         0        12         0         0         0         0         0         0         0         0         0         0
ieee_spectrum                      Deep       368        37        37         0        26        11        11         0         0         0         0         0         0         0         0
infoq                              Flow         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
meta_ai_blog                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
microsoft_research_blog            Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
mistral_blog                       Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
mit_csail                          Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
nature_biotechnology               Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
nature_energy                      Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
nature_machine_intelligence        Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
quantum_computing_report           Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
semiwiki                           Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
the_next_platform                  Deep       156        92        57         0        54         3         3         0         0         0         0         0         0         0         0
timmerman_report                   Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
together_ai_blog                   Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
weights_biases_blog                Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
wood_mackenzie                     Deep         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
semianalysis                       Deep       198        11        11         0        10         1         0         0         0         1         0         1         0         1         0
hugging_face_blog                  Deep       103        16        16         0        14         2         0         0         0         2         0         2         0         2         0
mit_technology_review              Flow       281        73        55         0        52         3         0         0         0         3         0         3         0         3         0
servethehome                       Deep       152        24        24         0        20         4         0         0         0         4         0         4         0         4         0
nvidia_developer_blog              Flow       168        98        50         0        45         5         0         0         0         5         0         5         0         5         0
semiconductor_engineering          Deep       162        35        35         0        30         5         0         0         0         5         0         5         0         5         0
wired                              Flow       177        67        23         0        12        11         0         0         0        11         0        11         0        11         0
ars_technica                       Flow       203        38        38         0        10        28         0         0         0        28         3        25         0        25         0
